"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(395,""000"")","TURFGRASS RESEARCH FACILITY (PAINT BRANCH)","3","4,500","533","2,878","64",,,,"1999",,,"$2,397,693","$0","1994","25","0.25","$599,423","$0","UM","1",,,"714.28","654.33","1509.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2878.28","2,878","20","746.03","487.82",,"1253.85","4132.13","92"
"=TEXT(396,""000"")","EQUIPMENT STORAGE BUILDING (PAINT BRANCH)","3","7,991","217","7,631","96",,,,"1999",,,"$1,732,735","$0","1994","25","0.25","$433,184","$0","UM","1",,,,"187.7","161.25",,,,,,,,,,,,,,,,,,,,,,"3611.83",,"3670.71",,,,,,,,,,,"7631.49","7,631",,,,,,"7631.49","96"
"=TEXT(397,""000"")","AGRICULTURAL CHEMICAL STORAGE BUILDING (PT BRANCH)","3","1,500","217","1,358","91",,,,"1999",,,"$325,268","$0","1994","25","0.25","$81,317","$0","UM","1",,,,"1358.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1358.38","1,358",,,,,,"1358.38","91"
"=TEXT(398,""000"")","RESEARCH GREENHOUSE","1","66,370","743","52,639","79",,,,"2003",,,"$49,343,795","$0","1994","10","0.1","$4,934,379","$0","UM","1",,"797.29",,"11269.57","2583.35",,,,,,,,,,,,"37874.5",,,,,,,,,,,"114.38",,,,,,,,,,,,"52639.09","52,639","220.39","5660.31","3328.86",,"9209.56","61848.65","93"
"=TEXT(399,""000"")","AQUATIC CENTER","6","5,426","558","2,351","43","5426","2350.65",,"1998",,,"$3,025,554","$3,025,554","1994","25","0.25","$756,389","$756,389","UM","1",,,,,"227.35",,,,,"1882.8",,,,,,,,,,"240.5",,,,,,,,,,,,,,,,,,,,"2350.65","2,351","37.33","876.22","1193.75",,"2107.3","4457.95","82"
"=TEXT(400,""000"")","MOWATT LANE SUBSTATION","7","5,422","1425","28","1",,,,"1999",,,"$7,726,272","$0","1994","25","0.25","$1,931,568","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"27.5",,,,,,,,,,,,,"27.5","28",,"187.94","2586.21",,"2774.15","2801.65","52"
"=TEXT(401,""000"")","SOUTH GATE (REGENTS DR AND ROUTE 1)","7","96","322","60","63",,,,"1998",,,"$30,928","$0","1994","25","0.25","$7,732","$0","UM","1",,,,,"60.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.17","60",,,,,,"60.17","63"
"=TEXT(403,""000"")","TERRAPIN TRAIL PARKING GARAGE","6","373,253","81","0","0","373252.78",,,"2001",,,"$30,062,772","$0","1994","2","0.02","$601,255","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"365061.12","614.98",,"365676.1","365676.1","98"
"=TEXT(404,""000"")","MOWATT LANE PARKING GARAGE","6","502,031","81","1,000","0","502031","1000",,"2003",,,"$40,434,934","$40,434,934","1994","10","0.1","$4,043,493","$4,043,493","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000",,,,,,,,,,,"1000","1,000",,"488313.89","336.2",,"488650.09","489650.09","98"
"=TEXT(405,""000"")","SATELLITE CENTRAL UTILITIES BUILDING (SCUB 4)","7","15,751","1425","3,593","23",,,,"2002",,,"$22,444,947","$0","1994","10","0.1","$2,244,495","$0","UM","1",,,,,"2559.61",,,,,,,,,,,,,,,,,,,,,,"917.66",,,,,,,,"115.65","115.65",,,,"3592.92","3,593","57.78","1810.6","8170.06",,"10038.44","13631.36","87"
"=TEXT(406,""000"")","COMPUTER SCIENCE INSTRUCTIONAL CENTER","1","38,699","620","20,222","52","188","98.26",,"2002",,,"$23,976,311","$116,503","1994","10","0.1","$2,397,631","$11,650","UM","1","13653.4","707.16","1193.3",,"3595.31",,"389.29",,,,,"292.37",,,,,,,,"98.26",,,,,,"67.16",,"225.54",,,,,,,,,,,,"20221.79","20,222","136.08","11026.11","2381.09",,"13543.28","33765.07","87"
"=TEXT(409,""000"")","MARYLAND SOFTBALL STADIUM","6","3,725","558","2,031","55","3724","2031.32",,"2002",,,"$2,076,882","$2,076,882","1994","10","0.1","$207,688","$207,688","UM","1",,,,,,,,,,"1752.96",,,,,,,,,,"278.36",,,,,,,,,,,,,,,,,,,,"2031.32","2,031","31.37",,"851.86",,"883.23","2914.55","78"
"=TEXT(413,""000"")","BIOSCIENCE RESEARCH BUILDING","1","141,019","703","67,992","48","432","208.71",,"2007",,,"$99,077,105","$304,131","1994","5","0.05","$4,953,855","$15,206","UM","1","4864.06",,,"44791.58","15855.79",,,,,,,,,,,"1070.72",,,,"208.71",,,,,,,"239.11","961.58",,,,,,,,,,,,"67991.55","67,992","915.64","30157.65","21474.67",,"52547.96","120539.51","85"
"=TEXT(414,""000"")","FIELD HOCKEY AND LACROSSE COMPLEX","6","6,195","558","4,364","70","6195","4363.64",,"2004",,,"$3,454,451","$3,454,451","1994","10","0.1","$345,445","$345,445","UM","1",,,,,,,,,,"3568.56",,,,,,,,,,,,"336.39","458.69",,,,,,,,,,,,,,,,,"4363.64","4,364","53.56",,"665.62",,"719.18","5082.82","82"
"=TEXT(415,""000"")","PHYSICAL SCIENCES COMPLEX","1","171,772","936","90,150","52","1165","611.76",,"2013",,,"$160,698,543","$1,090,509","1994","2","0.02","$3,213,971","$21,810","UM","1",,,,"45559.51","37645.28",,,,,,,,,,,"174.31",,,,"611.76",,"5487.86",,,,,"205.14",,,,,,,,"465.69","465.69",,,,"90149.55","90,150","310.81","38463.03","19552.61",,"58326.45","148476","86"
"=TEXT(416,""000"")","SATELLITE CENTRAL UTILITIES BUILDING (SCUB 5)","7","4,937","1425","302","6",,,,"2009",,,"$7,035,652","$0","1994","5","0.05","$351,783","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"301.84",,,,,,,,,,,,,"301.84","302",,"406.08","3100.64",,"3506.72","3808.56","77"
"=TEXT(417,""000"")","KNIGHT HALL","1","55,861","620","32,987","59","2800","1654",,"2010",,,"$34,609,287","$1,735,366","1994","5","0.05","$1,730,464","$86,768","UM","1","4299.59","5277.92","1843.61","460.34","18329.99","1161.31",,"72.74",,,,"73.2",,,,,,,,"152.48",,"574.3",,,,"126.72","295.09","319.27",,,,,,,,,,,,"32986.56","32,987","311.41","12752.72","2899.53",,"15963.66","48950.22","88"
"=TEXT(419,""000"")","OAKLAND HALL","6","233,436","457","140,877","60","233436","140876.77",,"2011",,,"$106,734,990","$106,734,990","1994","2","0.02","$2,134,700","$2,134,700","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140876.77",,,,,,"140876.77","140,877","3016.22","40008.36","11998.45",,"55023.03","195899.8","84"
"=TEXT(420,""000"")","MARYLAND BASEBALL ANNEX","6","740","533","645","87","740","645.39",,"2006",,,"$394,442","$394,442","1994","5","0.05","$19,722","$19,722","UM","1",,,,,"645.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"645.39","645",,,,,,"645.39","87"
"=TEXT(422,""000"")","CSPAC GROUNDS STORAGE FACILITY","7","918","322","752","82",,,,"2009",,,"$295,592","$0","1994","5","0.05","$14,780","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"620.21","131.63",,,,,,,,,,,,"751.84","752",,,,,,"751.84","82"
"=TEXT(423,""000"")","GROUNDS STORAGE FACILITY","7","240","322","180","75",,,,"2009",,,"$77,321","$0","1994","5","0.05","$3,866","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"180",,,,,,,,,,,,,"180","180",,,,,,"180","75"
"=TEXT(424,""000"")","SHUTTLE BUS FACILITY","6","10,947","732","8,199","75","10946","8198.81",,"2012",,,"$8,016,692","$8,016,692","1994","2","0.02","$160,334","$160,334","UM","1",,,,,"3586.01",,,,,,,,,,,,,,,,,,,,,,,,"4612.8",,,,,,,,,,,"8198.81","8,199","47.75","745.11","843.36",,"1636.22","9835.03","90"
"=TEXT(425,""000"")","PRINCE FREDERICK HALL","6","187,060","483","99,311","53","170696","90622.99",,"2014",,,"$90,397,861","$82,489,805","1994","2","0.02","$1,807,957","$1,649,795","UM","1","4600.66",,"1399.58",,"2833.56",,,,,,,,,,,,,,,"204.27",,,,,,,"1270.05",,,,,,,"89002.63",,,,,,"99310.75","99,311","2465.62","35138.97","20094.52",,"57699.11","157009.86","84"
"=TEXT(426,""000"")","HEAVY EQUIPMENT BUILDING","7","7,136","322","5,118","72",,,,"2012",,,"$2,299,068","$0","1994","2","0.02","$45,981","$0","UM","1",,,,,"281.21",,,,,,,,,,,,,,,,,,,,,,"4836.59",,,,,,,,,,,,,"5117.8","5,118","35.85",,"992.37",,"1028.22","6146.02","86"
"=TEXT(427,""000"")","FLEET SERVICES BUILDING","6","864","322","709","82","864","708.79",,"2012",,,"$278,355","$278,355","1994","2","0.02","$5,567","$5,567","UM","1",,,,,"708.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"708.79","709",,,"54.43",,"54.43","763.22","88"
"=TEXT(428,""000"")","WYE OAK BUILDING","7","13,520","539","6,936","51",,,,"2013",,,"$7,287,689","$0","1994","2","0.02","$145,754","$0","UM","1",,,,,"6444.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"491.18","491.18",,,,"6935.65","6,936","155.77","3715.92","965.09",,"4836.78","11772.43","87"
"=TEXT(429,""000"")","A. JAMES CLARK HALL","1","182,440","908","98,516","54",,,,"2017",,,"$165,601,692","$0","1994","0","0","$0","$0","UM","1","6137.1","10759.04",,"38582.5","20634.84",,,,,,,"123.87",,,,"18913.45",,,,"213.19",,"710.85",,,,,"933.57","424.48",,,,,,,"1082.67",,"1082.67",,,"98515.56","98,516","785.12","33553.03","30148.56",,"64486.71","163002.27","89"
"=TEXT(430,""000"")","METZEROTT HOUSE (4103)","7","0","533","1,415","141500",,,,"1953",,"2015","$1,046,993","$0","1994","2","0.02","$20,940","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1415","1415",,,,"1415","1,415",,,,,,"1415","141500"
"=TEXT(432,""000"")","BRENDAN IRIBE CENTER","1","246,187","628","125,364","51","1868","951.7",,"2018",,,"$154,679,292","$1,174,250","1994","0","0","$0","$0","UM","1","17116.56","1704.41","4996.82","13058.42","58781.87","15676.58",,"1036.88",,,,,,,,,,,,"951.7","127.41","4539.76",,,,"1379.75","2065.39","2953.16",,,,,,,"974.94","974.94",,,,"125363.65","125,364","1490.58","56668.26","36471.02",,"94629.86","219993.51","89"
"=TEXT(437,""000"")","PUMP BUILDING","7","394","1185","0","0",,,,"2018",,,"$466,693","$0","1994","0","0","$0","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"300",,"300","300","76"
"=TEXT(795,""000"")","AVRUM GUDELSKY VETERINARY CENTER","1","85,716","743","44,760","52",,,,"1989",,,"$63,727,336","$0","1994","73","0.73","$46,520,955","$0","UM","1",,"532.21",,"21242.98","8311.53",,,,,,,,,,,"11721.39",,,,,,,,,"764.98",,,,,,,,,,"2186.6","2186.6",,,,"44759.69","44,760","201","13762.72","14351.12",,"28314.84","73074.53","85"
"=TEXT(800,""000"")","4-H HEADQUARTERS","7","6,155","533","3,943","64",,,,"1989",,,"$3,279,511","$0","1994","73","0.73","$2,394,043","$0","UM","1",,,,,"3293.73",,,,,,,,,,,,,,,,,,,,"437.1",,,"212.06",,,,,,,,,,,,"3942.89","3,943","27.05","1119.68","494.97",,"1641.7","5584.59","91"
"=TEXT(803,""000"")","ADELPHI ROAD OFFICE ANNEX","7","4,818","533","4,223","88",,,,"1956",,"1991","$2,567,077","$0","1994","73","0.73","$1,873,966","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4222.83","4222.83",,,,"4222.83","4,223",,,,,,"4222.83","88"
"=TEXT(805,""000"")","PATAPSCO BUILDING","6","53,964","508","40,780","76","11166","8438.48",,"1969",,"1995","$27,415,780","$5,673,076","1994","73","0.73","$20,013,519","$4,141,346","UM","1",,,"1578.05","3327.59","23881.07",,,,,,,,,,,,,,,,,"370.18",,,,,"1053.49",,,"3161.75",,,,,"7407.77","7407.77",,,,"40779.9","40,780","142.33","6329.15","2331.22",,"8802.7","49582.6","92"
"=TEXT(806,""000"")","TECHNOLOGY VENTURES BUILDING","1","52,816","712","38,263","72",,,,"1960",,"1997","$37,631,018","$0","1994","73","0.73","$27,470,643","$0","UM","1",,,"379.93","13870.83","18051.54",,,,,,,,,,,,,,,,,,,,"1368.83","555.82","235.15","3801.34",,,,,,,,,,,,"38263.44","38,263","92.56","7785.57","2055.51",,"9933.64","48197.08","91"
"=TEXT(809,""000"")","POLICE SERVICES AND TRAINING FACILITY","7","9,763","533","8,655","89",,,,"1984","2008",,"$5,202,179","$0","1994","5","0.05","$260,109","$0","UM","1",,,"461.13",,"6632.67",,,,,,,,,,,,,,,,,,,"1560.93",,,,,,,,,,,,,,,,"8654.73","8,655",,,"174.52",,"174.52","8829.25","90"
"=TEXT(810,""000"")","SEVERN BUILDING","7","310,865","368","231,712","75","29621","22079.6",,"1998","2014","2010","$114,403,917","$10,901,419","1994","25","0.25","$28,600,979","$2,725,354","UM","1",,"3852.91",,,"33761.58",,"15108.44","2355.53",,"1670.92",,,,,,,,,,"340.36",,,"490.17",,,"4158.77","45265.2","94881.76","20838.7","4543.58",,,,,"4444.35","3045.23","1399.12",,,"231712.27","231,712","564.03","31088.76","26413.25","2472.48","58066.04","289778.31","93"
"=TEXT(812,""000"")","SENECA BUILDING","4","40,770","533","31,567","77",,,,"1991",,"2014","$21,723,099","$0","1994","50","0.5","$10,861,550","$0","UM","1",,,,"1338.55","28163.73",,,,,,,,,,,,,,,,"88.62",,,,,,,"106.86",,,,,,,"1869.28","1869.28",,,,"31567.04","31,567","138.69","3248.55","1743.41",,"5130.65","36697.69","90"
"=TEXT(813,""000"")","ARTEMESIA BUILDING","1","47,224","533","37,160","79","16301","12827.47",,"1971",,"2016","$25,161,924","$8,685,807","1994","73","0.73","$18,368,204","$6,340,639","UM","1",,,,,"26492.82",,,,,,,,,,,,,,,,"124.99",,,,,,,,,,,,,,"10542.1","10542.1",,,,"37159.91","37,160","110.12","3333.97","2389.01",,"5833.1","42993.01","91"
"=TEXT(814,""000"")","CYPRESS BUILDING","3","8,994","805","8,409","93",,,,"1947",,"2016","$7,244,007","$0","1994","73","0.73","$5,288,125","$0","UM","1",,"7592",,,"280.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"535.82","535.82",,,,"8408.75","8,409",,,,,,"8408.75","93"
"=TEXT(885,""000"")","VETERINARY SCIENCE BARN3","3","5,591","217","4,759","85",,,,"1991",,,"$1,212,384","$0","1994","50","0.5","$606,192","$0","UM","1",,,,,,,,,,,,,,,"149.11","4609.57",,,,,,,,,,,,,,,,,,,,,,,,"4758.68","4,759",,"342.98",,,"342.98","5101.66","91"
"=TEXT(886,""000"")","CRANE AQUACULTURE BUILDING","3","3,898","805","3,630","93",,,,"1991","2001",,"$3,139,553","$0","1994","10","0.1","$313,955","$0","UM","1",,,,"3123.26","506.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3630.24","3,630",,,"77.03",,"77.03","3707.27","95"
"=TEXT(887,""000"")","VETERINARY SCIENCE EQUIPMT STORAGE BLDG","3","2,795","322","1,925","69",,,,"1991",,,"$900,467","$0","1994","50","0.5","$450,233","$0","UM","1",,,,,,,,,,,,,,,"1925",,,,,,,,,,,,,,,,,,,,,,,,,"1925","1,925",,,,,,"1925","69"
"=TEXT(888,""000"")","CRANE AQUACULTURE SUPPORT BUILDING","3","576","322","525","91",,,,"1991",,,"$185,570","$0","1994","50","0.5","$92,785","$0","UM","1",,,,,,,,,,,,,,,"525.11",,,,,,,,,,,,,,,,,,,,,,,,,"525.11","525",,,,,,"525.11","91"
,"MAIN TOTAL BLDG COUNT","252","=VALUE(ROUND(SUM(D2:D253),0))",,"=VALUE(ROUND(SUM(F2:F253),0))",,"=VALUE(ROUND(SUM(H2:H253),0))","=VALUE(ROUND(SUM(I2:I253),0))",,,,,"=VALUE(ROUND(SUM(N2:N253),0))","=VALUE(ROUND(SUM(O2:O253),0))",,,,"=VALUE(ROUND(SUM(S2:S253),0))","=VALUE(ROUND(SUM(T2:T253),0))",,,"=VALUE(ROUND(SUM(W2:W253),0))","=VALUE(ROUND(SUM(X2:X253),0))","=VALUE(ROUND(SUM(Y2:Y253),0))","=VALUE(ROUND(SUM(Z2:Z253),0))","=VALUE(ROUND(SUM(AA2:AA253),0))","=VALUE(ROUND(SUM(AB2:AB253),0))","=VALUE(ROUND(SUM(AC2:AC253),0))","=VALUE(ROUND(SUM(AD2:AD253),0))","=VALUE(ROUND(SUM(AE2:AE253),0))","=VALUE(ROUND(SUM(AF2:AF253),0))","=VALUE(ROUND(SUM(AG2:AG253),0))","=VALUE(ROUND(SUM(AH2:AH253),0))","=VALUE(ROUND(SUM(AI2:AI253),0))","=VALUE(ROUND(SUM(AJ2:AJ253),0))","=VALUE(ROUND(SUM(AK2:AK253),0))","=VALUE(ROUND(SUM(AL2:AL253),0))","=VALUE(ROUND(SUM(AM2:AM253),0))","=VALUE(ROUND(SUM(AN2:AN253),0))","=VALUE(ROUND(SUM(AO2:AO253),0))","=VALUE(ROUND(SUM(AP2:AP253),0))","=VALUE(ROUND(SUM(AQ2:AQ253),0))","=VALUE(ROUND(SUM(AR2:AR253),0))","=VALUE(ROUND(SUM(AS2:AS253),0))","=VALUE(ROUND(SUM(AT2:AT253),0))","=VALUE(ROUND(SUM(AU2:AU253),0))","=VALUE(ROUND(SUM(AV2:AV253),0))","=VALUE(ROUND(SUM(AW2:AW253),0))","=VALUE(ROUND(SUM(AX2:AX253),0))","=VALUE(ROUND(SUM(AY2:AY253),0))","=VALUE(ROUND(SUM(AZ2:AZ253),0))","=VALUE(ROUND(SUM(BA2:BA253),0))","=VALUE(ROUND(SUM(BB2:BB253),0))","=VALUE(ROUND(SUM(BC2:BC253),0))","=VALUE(ROUND(SUM(BD2:BD253),0))","=VALUE(ROUND(SUM(BE2:BE253),0))","=VALUE(ROUND(SUM(BF2:BF253),0))","=VALUE(ROUND(SUM(BG2:BG253),0))","=VALUE(ROUND(SUM(BH2:BH253),0))","=VALUE(ROUND(SUM(BI2:BI253),0))","=VALUE(ROUND(SUM(BJ2:BJ253),0))","=VALUE(ROUND(SUM(BK2:BK253),0))","=VALUE(ROUND(SUM(BL2:BL253),0))","=VALUE(ROUND(SUM(BM2:BM253),0))","=VALUE(ROUND(SUM(BN2:BN253),0))","=VALUE(ROUND(SUM(BO2:BO253),0))","=VALUE(ROUND(SUM(BP2:BP253),0))","=VALUE(ROUND(SUM(BQ2:BQ253),0))","=VALUE(ROUND(SUM(BR2:BR253),0))",
,"STATE-SUPPORTED TOTAL",,"=VALUE(ROUND(SUM(D254-D256),0))",,"=VALUE(ROUND(SUM(F254-F256),0))",,,,,,,,"=VALUE(ROUND(SUM(N254-N257),0))",,,,,"=VALUE(ROUND(SUM(S254-S257),0))"
,"NON-STATE TOTAL",,"=VALUE(H254)",,"=VALUE(I254)",,,,,,,,"=VALUE(O254)",,,,,"=VALUE(T254)"
,"AD-HOC SPACE"
"=TEXT(195,""000"")","MFRI DRILL TOWER","7","4,386","274","3,768","86",,,,"1989",,,"$1,201,194","$0","1994","73","0.73","$876,872","$0","UM","1",,,,,,,,,,,,,,"3768.1",,,,,,,,,,,,,,,,,,,,,,,,,,"3768.1","3,768",,,,,,"3768.1","86"
"=TEXT(196,""000"")","MFRI STRUCTURAL FIREFIGHTING BUILDING","7","5,701","657","4,828","85",,,,"1989",,,"$3,744,222","$0","1994","73","0.73","$2,733,282","$0","UM","1",,,,,,,,,,,,,,"4827.63",,,,,,,,,,,,,,,,,,,,,,,,,,"4827.63","4,828",,,,,,"4827.63","85"
"=TEXT(197,""000"")","MFRI FIRE EXTINGUISHER TRAINING FAC.","7","1,569","322","1,326","84",,,,"1990",,,"$505,541","$0","1994","73","0.73","$369,045","$0","UM","1",,,,,,,,,,,,,,"1325.5",,,,,,,,,,,,,,,,,,,,,,,,,,"1325.5","1,326",,,,,,"1325.5","84"
"=TEXT(198,""000"")","MFRI BREATH APPARATUS TRAINING BLDG","7","5,018","322","4,434","88",,,,"2008",,,"$1,616,652","$0","1994","5","0.05","$80,833","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"4433.76",,,,,,,,,,,,,"4433.76","4,434",,,"244.3",,"244.3","4678.06","93"
"=TEXT(199,""000"")","MFRI OFFICE/CLASSROOM BUILDING","7","45,793","620","31,509","69",,,,"1955","2002",,"$28,371,456","$0","1994","50","0.5","$14,185,728","$0","UM","1",,"7883.65","6044.4",,"12942.1",,,,,,,,,,,,,,,,,"723.53",,,,,"3915.06",,,,,,,,,,,,,"31508.74","31,509","79.44","6796.17","2653.69",,"9529.3","41038.04","90"
"=TEXT(383,""000"")","PAINT BRANCH BUILDING","7","38,280","379","35,619","93","11488","10690.21",,"1993",,,"$14,514,630","$4,356,192","1994","50","0.5","$7,257,315","$2,178,096","UM","1",,,,"6541.15","4149.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24929.07","24929.07",,,,"35619.28","35,619","20.39","68.71","649.99",,"739.09","36358.37","95"
"=TEXT(500,""000"")","WESTERN MD 4-H CABIN 1","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(501,""000"")","WESTERN MD 4-H CABIN 2","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(502,""000"")","WESTERN MD 4-H CABIN 3","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(503,""000"")","WESTERN MD 4-H CABIN 4","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(504,""000"")","WESTERN MD 4-H CABIN 5","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(505,""000"")","WESTERN MD 4-H CABIN 6","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(506,""000"")","WESTERN MD 4-H CABIN 7","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(507,""000"")","WESTERN MD 4-H CABIN 8","7","1,026","260","483","47",,,,"1934",,,"$266,980","$0","1994","73","0.73","$194,896","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","47"
"=TEXT(508,""000"")","WESTERN MD 4-H CABIN 9","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(509,""000"")","WESTERN MD 4-H CABIN 10","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(510,""000"")","WESTERN MD 4-H CABIN 11","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(511,""000"")","WESTERN MD 4-H CABIN 12","7","522","260","483","93",,,,"1934",,,"$135,832","$0","1994","73","0.73","$99,157","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483.31",,,,,,"483.31","483",,,,,,"483.31","93"
"=TEXT(512,""000"")","WESTERN MD 4-H CABIN A","7","216","260","192","89",,,,"1934",,,"$56,206","$0","1994","73","0.73","$41,031","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191.69",,,,,,"191.69","192",,,,,,"191.69","89"
"=TEXT(513,""000"")","WESTERN MD 4-H CABIN B","7","204","260","192","94",,,,"1934",,,"$53,084","$0","1994","73","0.73","$38,751","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191.69",,,,,,"191.69","192",,,,,,"191.69","94"
"=TEXT(514,""000"")","WESTERN MD 4-H CABIN C","7","204","260","192","94",,,,"1934",,,"$53,084","$0","1994","73","0.73","$38,751","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191.69",,,,,,"191.69","192",,,,,,"191.69","94"
"=TEXT(515,""000"")","WESTERN MD 4-H CABIN D","7","204","260","192","94",,,,"1934",,,"$53,084","$0","1994","73","0.73","$38,751","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191.69",,,,,,"191.69","192",,,,,,"191.69","94"
"=TEXT(516,""000"")","WESTERN MD 4-H CABIN E","7","288","260","255","89",,,,"1934",,,"$74,942","$0","1994","73","0.73","$54,708","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255.12",,,,,,"255.12","255",,,,,,"255.12","89"
"=TEXT(517,""000"")","WESTERN MD 4-H DINING HALL","7","2,881","446","2,664","92",,,,"1934",,,"$1,285,163","$0","1994","73","0.73","$938,169","$0","UM","1",,,,,"408.4",,,,,,,,,,,,,,,"2255.13",,,,,,,,,,,,,,,,,,,,"2663.53","2,664",,,,,,"2663.53","92"
"=TEXT(518,""000"")","WESTERN MD 4-H LODGE HALL","7","3,040","260","3,040","100",,,,"1957",,,"$791,053","$0","1994","73","0.73","$577,469","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,"3040",,,,,,,,,,,,,,,"3040","3,040",,,,,,"3040","100"
"=TEXT(519,""000"")","WESTERN MD 4-H BATH HOUSE 1","7","1,190","260","882","74",,,,"1997",,,"$309,656","$0","1994","25","0.25","$77,414","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"882.26",,,,,,"882.26","882",,,"162.5",,"162.5","1044.76","88"
