"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(045,""000"")","INSTRUCTIONAL TELEVISION FACILITY","3","3,082","657","2,735","89",,,,"1979",,,"$2,024,049","$0","1994","73","0.73","$1,477,556","$0","UM","1","1652.78",,,,"120.75",,,,,,,"961.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2734.79","2,735",,"63.78",,,"63.78","2798.57","91"
"=TEXT(046,""000"")","MARIE MOUNT HALL","1","113,268","533","66,754","59","2210","1302.65",,"1940","1980",,"$60,351,405","$1,177,703","1994","73","0.73","$44,056,526","$859,723","UM","1","3595.21","4813.42","1712.01","11367.89","39699.52","654.83",,,,,,,,,,,,,,,,"236.94",,,"1935.21",,"637.68","1297.58",,,,,,,"804.02","804.02",,,,"66754.31","66,754","187.43","22373.73","12289.08","262.74","34850.24","101604.55","90"
"=TEXT(047,""000"")","WOODS HALL","1","24,470","657","14,326","59",,,,"1948",,,"$16,070,230","$0","1994","73","0.73","$11,731,268","$0","UM","1","2379.82","920.45","172.26","2142.42","7993.51",,,,,,,,,,,,,,,,,"317.54",,,,,,"399.92",,,,,,,,,,,,"14325.92","14,326","170.93","4694.44","1475.39",,"6340.76","20666.68","84"
"=TEXT(048,""000"")","FRANCIS SCOTT KEY HALL","1","52,548","620","29,116","55",,,,"1932","2003",,"$32,556,583","$0","1994","45","0.451","$14,671,800","$0","UM","1","9332.37",,"238.22",,"17511.72",,"22.57",,,,,,,,,,,,,,,"1232.74",,,,"778.45",,,,,,,,,,,,,,"29116.07","29,116","191.81","9598.49","6791.28","382.68","16581.58","45697.65","87"
"=TEXT(051,""000"")","WORCESTER HALL","6","33,541","589","22,051","66","33541","22051",,"1959",,,"$19,741,595","$19,741,595","1994","73","0.73","$14,411,364","$14,411,364","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22051",,,,,,"22051","22,051","685","4924","659",,"6268","28319","84"
"=TEXT(052,""000"")","CLARENCE M. MITCHELL, JR. BUILDING","4","45,212","508","30,776","68","6621","4507.36",,"1958",,,"$22,969,429","$3,363,996","1994","73","0.73","$16,767,683","$2,455,717","UM","1",,,,,"28035.12",,,,,,,,,,,,,,,,"42.24",,,,,,,"245.95",,,,,,,"2453.03","2453.03",,,,"30776.34","30,776","80.01","5373.64","2968.27",,"8421.92","39198.26","87"
"=TEXT(054,""000"")","PREINKERT HALL","1","28,237","533","17,335","61",,,,"1932","1952",,"$15,045,012","$0","1994","73","0.73","$10,982,859","$0","UM","1","2307.32","2474.33","277","851.86","10661.98",,,,,,,,,,,,,,,,,,,,,,,"188.4",,,,,,,"574.06","574.06",,,,"17334.95","17,335","279.1","4250.69","2786.31",,"7316.1","24651.05","87"
"=TEXT(056,""000"")","HVAC & PM STORAGE BUILDING","7","527","322","459","87",,,,"1988",,,"$169,784","$0","1994","73","0.73","$123,942","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"458.9",,,,,,,,,,,,,"458.9","459",,,,,,"458.9","87"
"=TEXT(057,""000"")","ANIMAL CARE STORAGE FACILITY","3","864","322","748","87",,,,"1988",,,"$278,355","$0","1994","73","0.73","$203,199","$0","UM","1",,,,,,,,,,,,,,,,"748",,,,,,,,,,,,,,,,,,,,,,,,"748","748",,,,,,"748","87"
"=TEXT(059,""000"")","CHINCOTEAGUE HALL","1","22,563","657","12,973","57",,,,"1957","2011",,"$14,817,940","$0","1994","2","0.02","$296,359","$0","UM","1",,,,"370.71","12210.83",,,,,,,"208.84",,,,,,,,,,,,,,,,"182.23",,,,,,,,,,,,"12972.61","12,973","75.32","4123.9","2348.66",,"6547.88","19520.49","87"
"=TEXT(060,""000"")","ANNE ARUNDEL HALL","6","36,651","589","21,594","59","29689","17492.58",,"1937","1992",,"$21,572,082","$17,474,444","1994","50","0.5","$10,786,041","$8,737,222","UM","1","1712.37",,,,"2018.08","207.99","184.49",,,,,,,,,,,,,,,"247.92",,,,,,,,,,,,"17223.62",,,,,,"21594.47","21,594","176.27","7199.66","712.58",,"8088.51","29682.98","81"
"=TEXT(061,""000"")","QUEEN ANNES HALL","6","36,263","589","22,236","61","36263","22235.78",,"1949","2005",,"$21,343,906","$21,343,906","1994","10","0.1","$2,134,391","$2,134,391","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22235.78",,,,,,"22235.78","22,236","110.45","7838.37","869.34",,"8818.16","31053.94","86"
"=TEXT(062,""000"")","ST. MARYS HALL","6","28,770","589","18,382","64","27247","17409",,"1932","1989",,"$16,933,475","$16,037,183","1994","73","0.73","$12,361,437","$11,707,144","UM","1",,,,,"420.7","552.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17409",,,,,,"18381.96","18,382","0","2620","5973",,"8593","26974.96","94"
"=TEXT(063,""000"")","SOMERSET HALL","6","31,196","589","19,926","64","31196","19926",,"1949","1999",,"$18,361,372","$18,361,372","1994","25","0.25","$4,590,343","$4,590,343","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19926",,,,,,"19926","19,926","73","7677","824",,"8574","28500","91"
"=TEXT(064,""000"")","DORCHESTER HALL","6","35,436","589","23,911","67","35436","23911",,"1959","1992",,"$20,856,956","$20,856,956","1994","50","0.5","$10,428,478","$10,428,478","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23911",,,,,,"23911","23,911","831","5362","542",,"6735","30646","86"
"=TEXT(065,""000"")","CARROLL HALL","6","26,470","589","17,809","67","26470","17808.58",,"1955",,,"$15,579,739","$15,579,739","1994","73","0.73","$11,373,209","$11,373,209","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17808.58",,,,,,"17808.58","17,809","303.09","4496.26","347.32","75.72","5146.67","22955.25","87"
"=TEXT(067,""000"")","SATELLITE CENTRAL UTILITIES BUILDING (SCUB 2)","7","13,664","1425","4,769","35",,,,"1992",,,"$19,471,002","$0","1994","50","0.5","$9,735,501","$0","UM","1",,,,,"1004.85",,,,,,,,,,,,,,,,,,,,,,"929.36","2835.13",,,,,,,,,,,,"4769.34","4,769","210.02","1079.74","5925.96",,"7215.72","11985.06","88"
"=TEXT(068,""000"")","EPPLEY RECREATION CENTER","6","233,421","446","150,210","64","233209","150073.84",,"1998",,,"$104,124,967","$104,030,692","1994","25","0.25","$26,031,242","$26,007,673","UM","1",,,,,"11143.5",,,,,"130223.44","6780.83",,,,,,,,,"640.41",,"1068.7","352.96",,,,,,,,,,,,,,,,,"150209.84","150,210","728.34","35004.88","21581.01",,"57314.23","207524.07","89"
"=TEXT(069,""000"")","WICOMICO HALL","6","27,684","589","17,974","65","27684","17973.69",,"1955",,,"$16,294,282","$16,294,282","1994","73","0.73","$11,894,826","$11,894,826","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17973.69",,,,,,"17973.69","17,974","147.42","4901.5","332.23","18.56","5381.15","23354.84","84"
"=TEXT(070,""000"")","CAROLINE HALL","6","26,959","589","17,240","64","20436","13069.2",,"1955",,,"$15,867,555","$12,028,449","1994","73","0.73","$11,583,315","$8,780,768","UM","1","355.11",,"298.65",,"3374.3",,,,,,,,,,,,,,,,,,,,,,,"143.22",,,,,,"13069.2",,,,,,"17240.48","17,240","55.02","4663.15","737.94","77.5","5456.11","22696.59","84"
"=TEXT(071,""000"")","LEE BUILDING","4","42,185","508","28,609","68",,,,"1969",,,"$21,431,597","$0","1994","73","0.73","$15,645,066","$0","UM","1",,,,,"26990.89",,,,,,,,,,,,,,,,,,,,,,,"1617.76",,,,,,,,,,,,"28608.65","28,609","189.21","6324.84","2479.8",,"8993.85","37602.5","89"
